ID,title,Year,Age,IMDb,primary_genre,Netflix,Hulu,Prime Video,Disney+,Type,Runtime_Range
99,When We First Met,2018,16+,6.4,Comedy,1.0,0,0,0,0,90-120
100,The Perfect Date,2019,16+,5.8,Comedy,1.0,0,0,0,0,60-90
101,A Fortunate Man,2018,16+,7.2,Drama,1.0,0,0,0,0,120-180
102,Let It Snow,2019,13+,5.8,Comedy,1.0,0,0,0,0,90-120
103,Middle School: The Worst Years of My Life,2016,7+,6.1,Comedy,1.0,0,0,0,0,90-120
104,The Princess Switch,2018,7+,6.0,Romance,1.0,0,0,0,0,90-120
105,Into the Forest,2016,18+,5.8,Drama,1.0,0,0,0,0,90-120
106,Pee-wee's Big Holiday,2016,7+,6.1,Comedy,1.0,0,0,0,0,60-90
107,Seeing Allred,2018,16+,6.8,Documentary,1.0,0,0,0,0,90-120
108,The Red Sea Diving Resort,2019,18+,6.5,Drama,1.0,0,0,0,0,120-180
109,Horse Girl,2020,18+,5.9,Drama,1.0,0,0,0,0,90-120
110,Sergio,2020,18+,6.1,Biography,1.0,0,0,0,0,90-120
111,In the Shadow of the Moon,2019,18+,6.2,Crime,1.0,0,0,0,0,90-120
112,Mirror Mirror,2012,7+,5.6,Adventure,1.0,0,1,0,0,90-120
113,Brooklyn's Finest,2009,18+,6.7,Crime,1.0,0,1,0,0,120-180
114,Lu Over the Wall,2017,7+,6.8,Animation,1.0,0,0,0,0,90-120
115,The Kissing Booth,2018,16+,6.1,Comedy,1.0,0,0,0,0,90-120
116,First Match,2018,18+,6.3,Drama,1.0,0,0,0,0,90-120
117,The Short Game,2013,7+,7.4,Documentary,1.0,0,0,0,0,90-120
118,Sunday's Illness,2018,13+,6.9,Drama,1.0,0,0,0,0,90-120
119,Kevin Hart: Let Me Explain,2013,18+,6.8,Documentary,1.0,0,0,0,0,60-90
120,Seoul Searching,2015,18+,7.1,Comedy,1.0,0,0,0,0,90-120
121,Time Share,2018,18+,6.0,Drama,1.0,0,0,0,0,90-120
122,6 Days,2017,18+,6.2,Action,1.0,0,0,0,0,90-120
123,Morris from America,2016,18+,6.2,Comedy,1.0,0,0,0,0,90-120
124,Joshua: Teenager vs. Superpower,2017,16+,7.0,Documentary,1.0,0,0,0,0,60-90
125,Sweet Virginia,2017,18+,6.2,Drama,1.0,0,0,0,0,90-120
126,Benji,2018,7+,6.3,Crime,1.0,0,0,0,0,60-90
127,Kevin Hart: What Now?,2016,18+,5.9,Documentary,1.0,0,0,0,0,90-120
128,"Michael Bolton's Big, Sexy Valentine's Day Special",2017,18+,6.7,Comedy,1.0,0,0,0,0,30-60
129,All Day and a Night,2020,18+,5.9,Drama,1.0,0,0,0,0,120-180
130,ARQ,2016,18+,6.4,Action,1.0,0,0,0,0,60-90
131,Sierra Burgess Is a Loser,2018,13+,5.8,Comedy,1.0,0,0,0,0,90-120
132,May the Devil Take You,2018,18+,6.0,Horror,1.0,0,0,0,0,90-120
133,Invader ZIM: Enter the Florpus,2019,7+,7.5,Animation,1.0,0,0,0,0,60-90
134,The Occupant,2020,18+,6.3,Drama,1.0,0,0,0,0,90-120
135,Velvet Buzzsaw,2019,18+,5.7,Horror,1.0,0,0,0,0,90-120
136,Win It All,2017,18+,6.2,Comedy,1.0,0,0,0,0,60-90
137,Lady J,2018,16+,6.9,Drama,1.0,0,0,0,0,90-120
138,Voyeur,2017,18+,6.2,Drama,1.0,0,0,0,0,90-120
139,The Knight Before Christmas,2019,7+,5.5,Adventure,1.0,0,0,0,0,90-120
140,Homecoming: A Film by Beyoncé,2019,13+,7.4,Documentary,1.0,0,0,0,0,120-180
141,A Christmas Prince,2017,7+,5.7,Comedy,1.0,0,1,0,0,90-120
142,The Bling Ring,2013,18+,5.6,Biography,1.0,0,0,0,0,60-90
143,Candy Jar,2018,13+,5.8,Comedy,1.0,0,0,0,0,90-120
144,The Discovery,2017,18+,6.3,Drama,1.0,0,0,0,0,90-120
145,The Laundromat,2019,18+,6.3,Comedy,1.0,0,0,0,0,90-120
146,Bethany Hamilton: Unstoppable,2019,7+,7.3,Documentary,1.0,0,0,0,0,90-120
147,Burning Sands,2017,18+,6.1,Drama,1.0,0,0,0,0,90-120
148,Ali Wong: Hard Knock Wife,2018,18+,7.4,Comedy,1.0,0,0,0,0,60-90
149,Triple Threat,2019,18+,5.5,Action,1.0,0,0,0,0,90-120
150,Hannibal Buress: Comedy Camisado,2016,18+,6.6,Comedy,1.0,0,0,0,0,60-90
151,6 Balloons,2018,18+,5.8,Drama,1.0,0,0,0,0,60-90
152,Knock Down the House,2019,7+,6.9,Documentary,1.0,0,0,0,0,60-90
153,Someone Great,2019,18+,6.2,Comedy,1.0,0,0,0,0,90-120
154,Amanda Knox,2016,18+,6.9,Documentary,1.0,0,0,0,0,90-120
155,My Suicide,2009,18+,7.2,Comedy,1.0,0,0,0,0,90-120
156,Anon,2018,18+,6.1,Crime,1.0,0,0,0,0,90-120
157,Brain on Fire,2017,13+,6.6,Biography,1.0,0,0,0,0,60-90
158,Atlantics,2019,16+,6.7,Drama,1.0,0,0,0,0,90-120
159,Lost Girls,2020,18+,6.1,Drama,1.0,0,0,0,0,90-120
160,To the Bone,2017,18+,6.8,Drama,1.0,0,0,0,0,90-120
161,Like Father,2018,18+,6.1,Comedy,1.0,0,0,0,0,90-120
162,War Machine,2017,18+,6.0,Comedy,1.0,0,0,0,0,120-180
163,Deidra & Laney Rob a Train,2017,16+,6.1,Comedy,1.0,0,0,0,0,90-120
164,Falling Inn Love,2019,7+,5.6,Comedy,1.0,0,0,0,0,90-120
165,Nobody Speak: Trials of the Free Press,2017,16+,6.5,Documentary,1.0,0,0,0,0,90-120
166,Initial D,2005,7+,6.4,Action,1.0,0,0,0,0,90-120
167,Juanita,2019,18+,5.9,Drama,1.0,0,0,0,0,60-90
168,The Bleeding Edge,2018,16+,7.7,Documentary,1.0,0,1,0,0,90-120
169,Sand Castle,2017,18+,6.3,Drama,1.0,0,0,0,0,90-120
170,In the Tall Grass,2019,18+,5.4,Drama,1.0,0,0,0,0,90-120
171,Kevin Hart: Irresponsible,2019,18+,6.4,Comedy,1.0,0,0,0,0,30-60
172,Results,2015,18+,5.4,Comedy,1.0,0,0,0,0,90-120
173,Toro,2016,13+,5.9,Action,1.0,0,1,0,0,90-120
174,Holiday in the Wild,2019,7+,6.1,Comedy,1.0,0,0,0,0,60-90
175,The Package,2018,18+,5.5,Comedy,1.0,0,0,0,0,90-120
176,Tau,2018,18+,5.8,Sci-Fi,1.0,0,0,0,0,90-120
177,A Very Murray Christmas,2015,18+,5.5,Comedy,1.0,0,0,0,0,30-60
178,Mindhorn,2016,18+,6.3,Comedy,1.0,0,0,0,0,60-90
179,The Rachel Divide,2018,18+,6.2,Documentary,1.0,0,0,0,0,90-120
180,Irreplaceable You,2018,18+,6.4,Comedy,1.0,0,0,0,0,90-120
181,Dark Places,2015,18+,6.2,Action,1.0,0,0,0,0,90-120
182,The Bad Batch,2017,18+,5.3,Drama,1.0,0,0,0,0,90-120
183,The Do-Over,2016,18+,5.7,Action,1.0,0,1,0,0,90-120
184,St. Agatha,2019,18+,5.2,Horror,1.0,0,0,0,0,90-120
185,Close,2019,18+,5.7,Action,1.0,0,0,0,0,90-120
186,Take Me,2017,18+,6.1,Comedy,1.0,0,0,0,0,60-90
