title,year,certificate,duration,genre,rating,description,stars,votes,ID,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Directors,Genres,Country,Language,Runtime,primary_genre
Russell Peters: Almost Famous,(2016 TV Special),,73 min,Comedy,6.6,"Canadian comedy star, Russell Peters, visits Toronto's Massey Hall for a homecoming stand-up comedy performance. Russell returns to his trademark material of ethnic jokes and audience interaction.","['David Higby', '| ', '    Stars:', 'Russell Peters, ', 'Jus Reign']","1,952",2195,2016,,6.5,,1.0,0,0,0,0,David Higby,Comedy,United States,English,73.0,Comedy
Nila,(2016),,96 min,"Drama, Romance",6.7,A young man meets his childhood love one rainy night in the city of dreams. When they both realise that the desire for more can ruin what is special between them do they listen to their ...                See full summary »,"['Selvamani Selvaraj', '| ', '    Stars:', 'Sruthi Hariharan, ', 'Vicky Vijai, ', 'Sarvesh Sridhar, ', 'Rajan Sekri']",280,2618,2016,,6.8,,1.0,0,0,0,0,Selvamani Selvaraj,"Drama,Romance",India,Tamil,96.0,Drama
"Dana Carvey: Straight White Male, 60",(2016 TV Special),,64 min,Comedy,6.5,"Emmy-winning comedy legend Dana Carvey returns to the stage with a routine that blends pitch-perfect impressions of big personalities with so-true-it-hurts stories about being a dad of millennials, the joys of aging, and pharmaceuticals.","['Marcus Raboy', '| ', '    Stars:', 'Dana Carvey, ', 'Dex Carvey, ', 'Thomas Carvey']","1,544",2127,2016,,6.4,,1.0,0,0,0,0,Marcus Raboy,Comedy,United States,English,64.0,Comedy
Seeing Allred,(2018),TV-14,96 min,"Documentary, Biography",7.2,Women's rights attorney Gloria Allred takes on the biggest names in American culture as coverage of sexual assault allegations in the media become more prevalent.,"['Roberta Grossman, ', 'Sophie Sartain', '| ', '    Stars:', 'Gloria Allred, ', 'Lisa Bloom, ', 'Hillary Clinton, ', 'Bill Cosby']","1,389",686,2018,16+,6.8,100%,1.0,0,0,0,0,"Roberta Grossman,Sophie Sartain",Documentary,United States,English,96.0,Documentary
Let It Fall: Los Angeles 1982-1992,(2017),TV-MA,144 min,"Documentary, History",7.8,An in-depth look at the culture of Los Angeles in the ten years leading up to the 1992 uprising that erupted after the verdict of police officers cleared of beating Rodney King.,"['John Ridley', '| ', '    Stars:', 'Daryl Gates, ', 'Tom Bradley, ', ""Damian 'Football' Williams, "", 'Jung Lee']",797,625,2017,18+,7.7,100%,1.0,0,0,0,0,John Ridley,"Documentary,History",United States,English,144.0,Documentary
Trailer Park Boys: Live at the North Pole,(2014 TV Movie),,88 min,Comedy,6.7,The Trailer Park Boys trick Ricky into going to Minneapolis by telling him it's in the North Pole. Once in Minneapolis the present a live Christmas themed show.,"['Mike Smith, ', 'John Paul Tremblay, ', 'Robb Wells, ', 'Jason Eisener', '| ', '    Stars:', 'John Paul Tremblay, ', 'Robb Wells, ', 'Mike Smith, ', 'John Dunsworth']","1,123",2289,2014,,6.2,,1.0,0,0,0,0,"Mike Smith,John Paul Tremblay,Robb Wells,Jason Eisener",Comedy,Canada,English,,Comedy
Tim Allen: Men Are Pigs,(1990 TV Special),Not Rated,30 min,"Documentary, Comedy",6.1,"Tim Allen's first Showtime stand-up comedy special filmed in Kalamazoo, Michigan.","['Ellen Brown', '| ', '    Stars:', 'Tim Allen, ', 'Ken Calvert, ', 'John Schmidt']",364,2793,1990,,5.9,,1.0,0,1,0,0,Ellen Brown,"Documentary,Comedy",United States,English,30.0,Documentary
Iliza Shlesinger: Confirmed Kills,(2016 TV Special),TV-MA,77 min,Comedy,6.6,"Iliza Shlesinger performs in this standup talking about dating, feminism and some of the intricacies associated with being a woman in the 21st century.","['Bobcat Goldthwait', '| ', '    Star:', 'Iliza Shlesinger']","2,912",1675,2016,18+,6.6,,1.0,0,0,0,0,Bobcat Goldthwait,Comedy,United States,English,77.0,Comedy
Bombairiya,(2019),Not Rated,104 min,"Comedy, Crime, Drama",4.5,"It follows the story of Meghna, who gets embroiled in a series of events after her phone gets stolen.","['Pia Sukanya', '| ', '    Stars:', 'Radhika Apte, ', 'Akshay Oberoi, ', 'Siddhant Kapoor, ', 'Ravi Kishan']",428,2970,2019,,4.4,,1.0,0,0,0,0,Pia Sukanya,"Comedy,Crime,Drama","United Arab Emirates,United Kingdom,India","Hindi,English",104.0,Comedy
Enter the Anime,(2019),,58 min,Documentary,2.6,"It is a documentary aimed at newcomers to anime, and follows anime newbie, Alex Burunova, as she dives into the mysterious world of the genre. The documentary features some of the biggest ...                See full summary »","['Alex Burunova', '| ', '    Stars:', 'Shinji Aramaki, ', 'Kôzô Morishita, ', 'Tania Nolan, ', 'Adi Shankar']","1,678",2590,2019,,2.5,,1.0,0,0,0,0,Alex Burunova,Documentary,"United States,Japan",Japanese,58.0,Documentary
Antoine Griezmann: The Making of a Legend,(2019 TV Movie),,60 min,"Documentary, Biography, Sport",6.5,"With heart and determination, Antoine Griezmann overcame his small stature to become one of the world's top soccer players and a World Cup champion.",[],"1,192",1887,2019,,6.5,,1.0,0,0,0,0,,"Documentary,Biography,Sport",,,60.0,Documentary
Mercenary,(I) (2016),,103 min,"Drama, Sport",6.5,"A young man of Wallisian origin in New Caledonia defies his father to go and play rugby in France. Living on his own on the other side of the world, he learns there is a price to pay to find success.","['Sacha Wolff', '| ', '    Stars:', 'Toki Pilioko, ', 'Iliana Zabeth, ', 'Mikaele Tuugahala, ', 'Laurent Pakihivatau']",745,2559,2016,,6.5,,1.0,0,0,0,0,Avi Nesher,"Action,Drama,Thriller",United States,English,102.0,Action
Vir Das: For India,(2020 TV Special),TV-MA,75 min,Comedy,7.7,"From the Vedas to Vasco da Gama to vacuous Bollywood plotlines, Vir Das celebrates the history of India with his one-of-a-kind perspective.","['Ajay Bhuyan, ', 'Vir Das', '| ', '    Star:', 'Vir Das']","1,283",1631,2020,,7.8,,1.0,0,0,0,0,"Ajay Bhuyan,Vir Das",Comedy,India,English,75.0,Comedy
Silent,(I) (2014),,3 min,"Animation, Short, Adventure",6.3,"Two street performers dream of bringing their 'Picture and Sound Show'to life. When they discover a magical contraption inside an old theatre, they embark on a cinematic adventure of sight ...                See full summary »","['Limbert Fabian, ', 'Brandon Oldenburg']",503,2410,2014,,6.4,,1.0,0,0,0,0,L. Rezan Yesilbas,"Short,Drama",Turkey,,14.0,Short
I'll Sleep When I'm Dead,(2016),,79 min,Documentary,6.6,"I'll Sleep When I'm Dead, directed by Justin Krook, is a heart-pumping yet heart-wrenching documentary about one of the most eminent DJs working today: Steve Aoki. In the lead-up to Aoki's ...                See full summary »","['Justin Krook', '| ', '    Stars:', 'Devon Aoki, ', 'Benji Madden, ', 'Joel Madden, ', 'Travis Barker']","1,373",2206,2016,,6.6,,1.0,0,0,0,0,Mike Hodges,"Crime,Drama,Mystery,Thriller","United Kingdom,United States",English,103.0,Crime
Beauties of the Night,(2016),,92 min,Documentary,7.2,"An honest portrait of five women who go through the night looking for other possibilities of beauty while discovering the passing of time, lost youth, the mirage that is fame, and the chance for happiness.","['Maria Jose Cuevas', '| ', '    Stars:', 'Olga Breeskin, ', 'Lyn May, ', 'Rossy Mendoza, ', 'Wanda Seux']",575,2328,2016,,7.3,,1.0,0,0,0,0,René Clair,"Comedy,Fantasy,Music,Romance","France,Italy",French,87.0,Comedy
It Takes a Lunatic,(2019),,126 min,"Documentary, Biography, Drama",6.6,"The life and career of acting teacher and co-founder/director of the American Place Theater, Wynn Handman.","['Billy Lyons, ', 'Kim Ferraro, ', 'Seth Isler', '| ', '    Stars:', 'Alec Baldwin, ', 'André Bishop, ', 'Michael Douglas, ', 'Richard Gere']",174,2885,2019,,6.5,,1.0,0,0,0,0,"Billy Lyons,Kim Ferraro,Seth Isler","Documentary,Biography,Drama","United States,United Kingdom,Germany",English,120.0,Documentary
Jenny Slate: Stage Fright,(2019 TV Special),TV-MA,66 min,"Comedy, Reality-TV",5.8,Jenny Slate's debut stand up-comedy special blends with home videos from her childhood and interviews of her with her family.,"['Gillian Robespierre', '| ', '    Star:', 'Jenny Slate']","1,310",1034,2019,,5.8,100%,1.0,0,0,0,0,Gillian Robespierre,"Comedy,Reality-TV",United States,English,66.0,Comedy
Rise: Ini Kalilah,(2018),,100 min,Drama,5.0,"Inspired by Malaysia's 14th General Election, this film trails six individuals and the obstacles they face in the days leading up to the historic event.","['Nik Amir Mustapha, ', 'M.S. Prem Nath, ', 'Teong Hin Saw', '| ', '    Stars:', 'Remy Ishak, ', 'Mira Filzah, ', 'Jack Tan, ', 'Sangeeta Krishnasamy']",46,3110,2018,,5.0,,1.0,0,0,0,0,"Nik Amir Mustapha,M.S. Prem Nath,Teong Hin Saw",Drama,Malaysia,,100.0,Drama
Tom Papa: You're Doing Great!,(2020 TV Special),,60 min,Comedy,7.2,"Tom Papa takes on body image issues, social media, pets, Staten Island, the ""old days"" and more in a special from his home state of New Jersey.","['Gregory Jacobs', '| ', '    Stars:', 'Paul C. Morrissey, ', 'Tom Papa']",876,2111,2020,,7.1,,1.0,0,0,0,0,Gregory Jacobs,Comedy,United States,English,60.0,Comedy
Vidal Sassoon: The Movie,(2010),PG,90 min,Documentary,6.4,"Vidal Sassoon is more than just a hairdresser-he's a rock star, an artist, a craftsman who ""changed the world with a pair of scissors."" With the geometric, Bauhaus-inspired hairdos he ...                See full summary »","['Craig Teper', '| ', '    Stars:', 'Beverly Adams, ', 'Elgin Charles, ', 'Grace Coddington, ', 'Michael Gordon']",258,7608,2010,7+,6.5,60%,0.0,0,1,0,0,Craig Teper,Documentary,United States,English,90.0,Documentary
