title,rating,Runtime
"Frankenstein's Monster's Monster, Frankenstein",5.8,32.0
Stalked by My Doctor: The Return,5.7,97.0
Shirkers,7.4,97.0
Dog Gone,4.7,108.0
Munafik 2,5.5,104.0
Jo Pil-ho: The Dawning Rage,6.3,127.0
"Live Twice, Love Once",7.2,101.0
Zero,5.7,164.0
Mother,6.8,121.0
Hannah Gadsby: Nanette,8.1,69.0
Toro,5.9,105.0
Tigertail,6.6,91.0
Casting JonBenet,6.1,80.0
Coin Heist,4.8,97.0
The Mansion,4.6,100.0
The Legend of Cocaine Island,6.3,83.0
"Michael Bolton's Big, Sexy Valentine's Day Special",6.8,54.0
Strange Weather,6.0,92.0
Rocko's Modern Life: Static Cling,6.9,45.0
The Keeper,5.0,120.0
Savage Dog,4.9,94.0
DNA,6.0,
Brother,6.7,96.0
The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,6.3,108.0
"Bikram: Yogi, Guru, Predator",6.7,86.0
Time Share,5.9,96.0
Spivak,5.6,91.0
The Real Miyagi,7.1,80.0
The Entitled,4.2,91.0
Act of Vengeance,5.7,119.0
Audrie & Daisy,7.2,95.0
The Square,8.0,151.0
1898: Our Last Men in the Philippines,6.5,105.0
Grandmaster,6.9,100.0
"Fat, Sick & Nearly Dead",7.5,97.0
Ajji,7.0,104.0
Selfie 69,6.1,116.0
My Wife Is a Gangster 3,6.3,115.0
Hulk: Where Monsters Dwell,5.3,75.0
Bo Burnham: Make Happy,8.3,60.0
Kevin Hart: Irresponsible,6.5,60.0
Tiger Orange,6.5,75.0
Test,6.4,101.0
Tony Robbins: I Am Not Your Guru,6.6,115.0
Sky Ladder: The Art of Cai Guo-Qiang,7.3,76.0
City of Tiny Lights,5.5,110.0
Ultras,6.2,108.0
Money Heist: The Phenomenon,7.5,57.0
Take the 10,4.7,80.0
The Witness,7.0,111.0
Been So Long,5.5,100.0
26 Years,6.3,135.0
"What Happened, Miss Simone?",7.6,101.0
Sand Storm,6.8,87.0
The Worthy,5.1,99.0
Dear Ex,7.3,100.0
Happy Old Year,7.2,
Us and Them,7.3,120.0
Mo Amer: The Vagabond,7.3,56.0
The Amityville Haunting,2.6,86.0
Team Foxcatcher,7.3,90.0
Hisss,2.9,98.0
The 3rd Eye,5.1,107.0
Revenger,5.7,95.0
This Earth of Mankind,6.9,181.0
Check Point,3.2,97.0
Cardboard Gangsters,6.4,92.0
Juanita,6.0,90.0
Lady-Like,5.2,82.0
Circus of Books,7.1,92.0
Whitney,7.3,30.0
Seventeen,7.2,102.0
Lionheart,5.7,108.0
Sunday's Illness,6.9,113.0
Splatter,3.2,29.0
Becoming,6.9,89.0
Maktub,7.3,100.0
Maria,5.0,90.0
Bill Burr: Paper Tiger,8.1,67.0
About Time,6.9,123.0
Wildflower,5.2,120.0
Blood Brother,4.4,87.0
Nazi Concentration Camps,8.3,59.0
Disciples of the 36th Chamber,6.4,90.0
Chasing Coral,8.0,93.0
Welcome to Dongmakgol,7.6,133.0
Sabrina,4.1,22.0
F.R.E.D.I.,5.0,89.0
Filosofi Kopi,7.1,117.0
Dragon Age: Dawn of the Seeker,5.7,90.0
Loev,5.9,92.0
Strong Island,6.4,107.0
Cuba and the Cameraman,8.2,113.0
Godzilla: The Planet Eater,5.0,91.0
Habibie & Ainun,7.6,120.0
Sahara,5.5,124.0
Burning Sands,6.0,96.0
Deep,4.8,92.0
Silencer,3.8,88.0
Layla M.,6.6,98.0
American Dreamer,6.2,92.0
Made in China,6.3,128.0
Garbage,3.7,105.0
And Breathe Normally,6.9,95.0
Homecoming: A Film by Beyoncé,7.5,137.0
Running Wild,5.8,101.0
Chopsticks,6.5,100.0
Chhota Bheem Kung Fu Dhamaka,5.3,97.0
Dragon Quest: Your Story,6.5,103.0
Hold Your Breath,3.3,89.0
Coyotes,5.2,90.0
Her Infidelity,3.5,83.0
Our Lovers,6.7,88.0
The Plagues of Breslau,5.9,93.0
Togo,8.1,113.0
